"","av_lambda","sum_lambda","Taxonomic_group","threat_intensity_log","threat_richness","hmn_pp_v_log","n_habitats","Protected_status","Utilised","Managed","Binomial","loc_id","Body_size_log","length"
"1",-0.714285714,-5,"Fish",-1.53900804285662,4,1.59251646449695,1,"Yes",0,0,"Hexanchus_griseus","-124.568056_49.5025",2.68304703823885,7
"2",-0.008533021,-0.051198125,"Fish",-1.53900804285662,4,1.59251646449695,2,"Yes",0,0,"Hydrolagus_colliei","-124.568056_49.5025",2,6
"3",0.040579054,0.892739178,"Fish",-0.496840152168972,5,1.03061877130487,1,"No",2,0,"Thymallus_arcticus","-111.627445_57.15412",1.88081359228079,22
"4",0.01907491,0.419648026,"Fish",-0.496840152168972,5,1.03061877130487,2,"No",2,0,"Lota_lota","-111.627445_57.15412",2.18184358794477,22
"5",0.060517301,0.726207611,"Fish",-0.496840152168972,5,1.03061877130487,2,"No",2,0,"Notropis_atherinoides","-111.627445_57.15412",1.11394335230684,12
"6",0.045862793,1.192432619,"Fish",-0.496840152168972,5,1.03061877130487,1,"No",2,0,"Platygobio_gracilis","-111.627445_57.15412",1.50514997831991,26
"7",0.060775718,1.580168676,"Fish",-0.496840152168972,5,1.03061877130487,1,"No",2,0,"Hiodon_alosoides","-111.627445_57.15412",1.73599148161074,26
"8",0.138362637,1.383626367,"Fish",-0.925345731588766,5,1.07539858465215,1,"No",2,0,"Hiodon_alosoides","-111.12555_56.675847",1.73599148161074,10
"9",0.114718531,1.032466776,"Fish",-0.496840152168972,5,1.03061877130487,1,"No",2,0,"Couesius_plumbeus","-111.627445_57.15412",1.36172783601759,9
"10",0.075320304,1.807687288,"Fish",-0.496840152168972,5,1.03061877130487,2,"No",2,0,"Coregonus_clupeaformis","-111.627445_57.15412",2,24
"11",0.163189639,1.468706747,"Fish",-0.925345731588766,5,1.07539858465215,2,"No",2,0,"Coregonus_clupeaformis","-111.12555_56.675847",2,9
"12",0.024853747,0.646197421,"Fish",-0.496840152168972,5,1.03061877130487,1,"No",2,0,"Catostomus_catostomus","-111.627445_57.15412",1.80617997398389,26
"13",0.03749172,0.26244204,"Fish",-0.925345731588766,5,1.07539858465215,1,"No",2,0,"Couesius_plumbeus","-111.12555_56.675847",1.36172783601759,7
