"","av_lambda","sum_lambda","Taxonomic_group","threat_intensity_log","threat_richness","hmn_pp_v_log","n_habitats","Protected_status","Utilised","Managed","Binomial","loc_id","Body_size_log","length"
"1",0.024698691,0.592768588,"Herps",1.07963716470879,7,1.50332161433697,4,"Yes",0,0,"Anaxyrus_fowleri","-80.417572_42.579883",1.54282542695918,24
"2",0.101498308,0.507491539,"Herps",0.957962740922921,7,1.32865604466502,4,"Yes",2,2,"Anaxyrus_fowleri","-81.856583_42.276928",1.54282542695918,5
"3",0.180770242,1.084621451,"Herps",1.40762908969678,9,2.38860742339504,4,"No",2,2,"Anaxyrus_fowleri","-79.240319_42.87999",1.54282542695918,6
"4",0.127085078,1.397935857,"Herps",1.44995062840491,9,2.76197186204089,2,"Yes",0,1,"Clemmys_guttata","-79.317526_43.011112",2.21853550521653,11
"5",0.168105538,1.344844307,"Herps",0.836288317137053,6,0.564658314474193,2,"No",0,0,"Plethodon_cinereus","-79.87_45.25",1.81291335664286,8
"6",0.066832714,0.801992566,"Herps",-0.10536591911879,2,0,2,"No",0,0,"Lithobates_catesbeianus","-84.499722_49.25",2.67006021747313,12
"7",0.155940626,1.559406259,"Herps",-0.10536591911879,2,0,2,"No",0,0,"Lithobates_catesbeianus","-84.499722_49.25",2.67006021747313,10
"8",0.093753167,1.03128484,"Herps",-0.10536591911879,2,0,2,"No",0,0,"Lithobates_catesbeianus","-84.499722_49.25",2.67006021747313,11
"9",0.077142172,0.925706069,"Herps",-0.10536591911879,2,0,2,"No",0,0,"Lithobates_clamitans","-84.499722_49.25",1.68033551341456,12
"10",0.111998206,1.11998206,"Herps",-0.10536591911879,2,0,2,"No",0,0,"Lithobates_clamitans","-84.499722_49.25",1.68033551341456,10
"11",0.098779391,1.086573297,"Herps",-0.10536591911879,2,0,2,"No",0,0,"Lithobates_clamitans","-84.499722_49.25",1.68033551341456,11
"12",0.073894653,0.886735838,"Herps",-0.10536591911879,2,0,6,"No",0,0,"Anaxyrus_americanus","-84.499722_49.25",2.07445071895459,12
"13",0.073583581,0.735835805,"Herps",-0.10536591911879,2,0,6,"No",0,0,"Anaxyrus_americanus","-84.499722_49.25",2.07445071895459,10
"14",0.092613827,1.018752098,"Herps",-0.10536591911879,2,0,6,"No",0,0,"Anaxyrus_americanus","-84.499722_49.25",2.07445071895459,11
"15",0.075560776,0.906729318,"Herps",-0.10536591911879,2,0,3,"No",0,0,"Hyla_versicolor","-84.499722_49.25",0.857332496431269,12
"16",0.108002336,1.080023364,"Herps",-0.10536591911879,2,0,3,"No",0,0,"Hyla_versicolor","-84.499722_49.25",0.857332496431269,10
"17",0.095206381,1.047270195,"Herps",-0.10536591911879,2,0,3,"No",0,0,"Hyla_versicolor","-84.499722_49.25",0.857332496431269,11
"18",0.089735711,1.076828532,"Herps",-0.10536591911879,2,0,3,"No",0,0,"Pseudacris_crucifer","-84.499722_49.25",0.602059991327962,12
"19",0.098499937,0.984999374,"Herps",-0.10536591911879,2,0,3,"No",0,0,"Pseudacris_crucifer","-84.499722_49.25",0.602059991327962,10
"20",0.079215842,0.950590101,"Herps",-0.10536591911879,2,0,2,"No",0,0,"Lithobates_sylvaticus","-84.499722_49.25",1.24551266781415,12
"21",0.086818834,0.868188341,"Herps",-0.10536591911879,2,0,2,"No",0,0,"Lithobates_sylvaticus","-84.499722_49.25",1.24551266781415,10
"22",0.081217,0.893387004,"Herps",-0.10536591911879,2,0,2,"No",0,0,"Lithobates_sylvaticus","-84.499722_49.25",1.24551266781415,11
"23",0.083202906,0.998434868,"Herps",-0.10536591911879,2,0,4,"No",0,0,"Lithobates_pipiens","-84.499722_49.25",1.59328606702046,12
"24",0.131914057,1.319140572,"Herps",-0.10536591911879,2,0,4,"No",0,0,"Lithobates_pipiens","-84.499722_49.25",1.59328606702046,10
"25",0.083715233,0.920867567,"Herps",-0.10536591911879,2,0,4,"No",0,0,"Lithobates_pipiens","-84.499722_49.25",1.59328606702046,11
"26",0.315038568,0.945115705,"Herps",-0.327553997336461,4,2.30204400480117,2,"No",2,2,"Ascaphus_truei","-123.156111_49.699167",1.08278537031645,3
"27",0.302561095,1.512805473,"Herps",-0.703157653371095,1,0.0517567865900866,2,"No",2,2,"Plethodon_cinereus","-80.249444_42.566667",1.81291335664286,5
"28",0.666398335,1.999195005,"Herps",0.418363122394291,7,2.86685458387333,3,"No",2,2,"Ambystoma_gracile","-122.566667_49.266667",0.806179973983887,3
"29",0.102426315,0.307278945,"Herps",0.418363122394291,7,2.86685458387333,2,"No",2,2,"Ensatina_eschscholtzii","-122.566667_49.266667",1.78532983501077,3
"30",0.326929914,0.980789741,"Herps",0.418363122394291,7,2.86685458387333,2,"No",2,2,"Plethodon_vehiculum","-122.566667_49.266667",1.66275783168157,3
"31",0.464715673,1.39414702,"Herps",0.418363122394291,7,2.86685458387333,5,"No",2,2,"Taricha_granulosa","-122.566667_49.266667",1.09061070782841,3
"32",0.161123401,0.483370204,"Herps",0.418363122394291,7,2.86685458387333,2,"No",2,2,"Ascaphus_truei","-122.566667_49.266667",1.08278537031645,3
"33",0.430006704,1.720026817,"Herps",-0.703157653371095,3,0.501077106674128,1,"No",2,2,"Sternotherus_odoratus","-80.116667_45.133333",2.13956426617585,4
"34",0.0699764,1.4695044,"Herps",1.1166685110784,9,1.23428097121378,7,"Yes",2,2,"Storeria_dekayi","-82.5_42.166667",1.65321251377534,21
