"","av_lambda","sum_lambda","Taxonomic_group","threat_intensity_log","threat_richness","hmn_pp_v_log","n_habitats","Protected_status","Utilised","Managed","Binomial","loc_id","Body_size_log","length"
"1",0.088586893,2.126085425,"Mammals",-3.77146920971036,1,0,2,"No",0,2,"Enhydra_lutris","-128.21167_51.66528",4.37106786227174,24
"2",0.160589981,1.284719849,"Mammals",-2.81923458877748,0,0,4,"No",2,0,"Gulo_gulo","-138.670556_61.249167",4.23076966988651,8
"3",0.076585917,0.765859171,"Mammals",-0.777220346110319,2,0.155081748705282,7,"No",2,0,"Peromyscus_maniculatus","-119.566667_50.066667",1.32797162362301,10
"4",0.079566667,0.795666672,"Mammals",-0.523291113861552,6,0.326253580689821,7,"No",2,0,"Peromyscus_maniculatus","-119.883333_49.666667",1.32797162362301,10
"5",0.138351144,1.383511438,"Mammals",-0.777220346110319,2,0.155081748705282,3,"No",2,0,"Tamias_amoenus","-119.566667_50.066667",1.61320735210376,10
"6",0.039233207,0.392332074,"Mammals",-0.777220346110319,2,0.155081748705282,6,"No",2,0,"Microtus_pennsylvanicus","-119.566667_50.066667",1.56525734342021,10
"7",0.112278926,1.122789257,"Mammals",-0.777220346110319,2,0.155081748705282,3,"No",2,0,"Sorex_monticolus","-119.566667_50.066667",0.720159303405957,10
"8",0.10689499,1.068949903,"Mammals",-0.523291113861552,6,0.326253580689821,3,"No",2,0,"Tamias_amoenus","-119.883333_49.666667",1.61320735210376,10
"9",0.148536047,1.485360466,"Mammals",-0.523291113861552,6,0.326253580689821,6,"No",2,0,"Microtus_pennsylvanicus","-119.883333_49.666667",1.56525734342021,10
"10",0.078320338,0.783203383,"Mammals",-0.523291113861552,6,0.326253580689821,3,"No",2,0,"Sorex_monticolus","-119.883333_49.666667",0.720159303405957,10
"11",0.244460718,0.733382155,"Mammals",0.9844137026155,9,2.94827267568842,1,"No",2,2,"Glaucomys_sabrinus","-122.798417_49.321989",2.22010808804005,3
"12",0.174605727,0.523817181,"Mammals",0.9844137026155,9,2.94827267568842,1,"No",2,2,"Tamiasciurus_douglasii","-122.798417_49.321989",2.35218251811136,3
"13",0.096077393,0.288232179,"Mammals",-3.31651266859799,2,0,1,"No",2,0,"Dicrostonyx_groenlandicus","-122.666667_69.8",1.73559889969818,3
"14",0.284066127,0.85219838,"Mammals",-3.31651266859799,2,0,5,"No",2,0,"Microtus_oeconomus","-122.666667_69.8",1.53630587235103,3
